head_sync,Time
0.16181839,350.8
0.149275509,351.2
0.158228012,351.6
0.150997274,352
0.118359839,352.4
0.113840829,352.8
0.120092353,353.2
0.117293121,353.6
0.124721111,354
0.146683168,354.4
0.155315565,354.8
0.165025518,355.2
0.13292619,355.6
0.1439492,356
0.144017727,356.4
0.141244175,356.8
0.153109046,357.2
0.163715055,357.6
0.179628967,358
0.167846358,358.4
0.161346944,358.8
0.168823686,359.2
0.168415497,359.6
0.16631257,360
0.162522257,360.4
0.173954584,360.8
0.161222755,361.2
0.168761463,361.6
0.177808568,362
0.187375185,362.4
0.237015566,362.8
0.265092156,363.2
0.28705329,363.6
0.282960318,364
0.206110157,364.4
0.177168568,364.8
0.194360257,365.2
0.190861841,365.6
0.172998789,366
0.165832066,366.4
0.164656972,366.8
0.126675393,367.2
0.129347707,367.6
0.208616247,368
0.193569942,368.4
0.140290484,368.8
0.125854443,369.2
0.13174737,369.6
0.133391169,370
0.133639784,370.4
0.12993932,370.8
0.144350667,371.2
0.185280332,371.6
0.179954927,372
0.181236332,372.4
0.158823124,372.8
0.122414749,373.2
0.134246281,373.6
0.137781405,374
0.167784341,374.4
0.214543848,374.8
0.240012121,375.2
0.256671976,375.6
0.259967668,376
0.244860117,376.4
0.226095635,376.8
0.210200834,377.2
0.227834114,377.6
0.215838591,378
0.165623134,378.4
0.101974128,378.8
0.066830514,379.2
0.084979349,379.6
0.145446486,380
0.17070882,380.4
0.158355306,380.8
0.202796372,381.2
0.225501376,381.6
0.222688175,382
0.180987758,382.4
0.16791288,382.8
0.175751847,383.2
0.19535972,383.6
0.162349055,384
0.169873944,384.4
0.156951051,384.8
0.131077153,385.2
0.11574935,385.6
0.108794316,386
0.10711442,386.4
0.13335183,386.8
0.141607706,387.2
0.17967573,387.6
0.188435598,388
0.166522356,388.4
0.138141908,388.8
0.124984524,389.2
0.141498268,389.6
0.136702152,390
0.135704368,390.4
0.130646942,390.8
0.110394402,391.2
0.134502535,391.6
0.138060392,392
0.134653646,392.4
0.174560883,392.8
0.196962185,393.2
0.176285568,393.6
0.168168868,394
0.181082874,394.4
0.177185295,394.8
0.174095689,395.2
0.17020269,395.6
0.175100145,396
0.171848021,396.4
0.146562352,396.8
0.158861288,397.2
0.143807217,397.6
0.140103595,398
0.124718027,398.4
0.129189839,398.8
0.134701089,399.2
0.162567529,399.6
0.18780279,400
0.18811355,400.4
0.204394633,400.8
0.247559421,401.2
0.226622084,401.6
0.217334524,402
0.206779088,402.4
0.232417938,402.8
0.209735617,403.2
0.162712249,403.6
0.163581468,404
0.182647302,404.4
0.157813355,404.8
0.130834491,405.2
0.120096712,405.6
0.146958597,406
0.14210307,406.4
0.135353917,406.8
0.149916794,407.2
0.165003414,407.6
0.163863106,408
0.151614389,408.4
0.149056741,408.8
0.143438932,409.2
0.142202207,409.6
0.125178219,410
