r_r_lPFC,Time
0.487721705,186.8
0.516439412,187.2
0.545874266,187.6
0.583677931,188
0.63170818,188.4
0.69026409,188.8
0.760696274,189.2
0.842603991,189.6
0.918208091,190
0.963557553,190.4
0.975485307,190.8
0.961968248,191.2
0.923328445,191.6
0.850038192,192
0.742232692,192.4
0.621562864,192.8
0.502932013,193.2
0.393320776,193.6
0.297822146,194
0.219828467,194.4
0.158276594,194.8
0.117383886,195.2
0.095232122,195.6
0.077800082,196
0.053481108,196.4
0.023105173,196.8
0.00058095,197.2
-0.001693395,197.6
0.022735544,198
0.076274574,198.4
0.157201178,198.8
0.256048476,199.2
0.355128101,199.6
0.448254179,200
0.53613111,200.4
0.602332552,200.8
0.632291145,201.2
0.623611099,201.6
0.589521872,202
0.544733021,202.4
0.49035246,202.8
0.436152369,203.2
0.392356108,203.6
0.363323002,204
0.348181378,204.4
0.340055706,204.8
0.32584571,205.2
0.298784614,205.6
0.26905364,206
0.253707249,206.4
0.250224596,206.8
0.249662554,207.2
0.253515684,207.6
0.266823692,208
0.294303051,208.4
0.339371593,208.8
0.40401635,209.2
0.487137068,209.6
0.578952879,210
0.665222438,210.4
0.736200696,210.8
0.77708547,211.2
0.77828411,211.6
0.741603689,212
0.678394432,212.4
0.597509285,212.8
0.498085779,213.2
0.386970487,213.6
0.278467742,214
0.184306426,214.4
0.113477859,214.8
0.068026298,215.2
0.030471544,215.6
-0.020587,216
-0.099322005,216.4
-0.196925066,216.8
-0.30149445,217.2
-0.413794472,217.6
-0.526074101,218
-0.612638954,218.4
-0.655912277,218.8
-0.648065252,219.2
-0.588290505,219.6
-0.486513114,220
-0.369801262,220.4
-0.267799012,220.8
-0.192353559,221.2
-0.145360998,221.6
-0.126142888,222
-0.131282552,222.4
-0.151183916,222.8
-0.170544128,223.2
-0.181876934,223.6
-0.190048109,224
-0.205058943,224.4
-0.232103864,224.8
-0.286704579,225.2
-0.378297669,225.6
-0.49469695,226
-0.618541423,226.4
-0.736684729,226.8
-0.835732213,227.2
-0.892826302,227.6
-0.889161334,228
-0.8287563,228.4
-0.723673309,228.8
-0.59261656,229.2
-0.458262486,229.6
-0.34479784,230
-0.263369924,230.4
-0.203035593,230.8
-0.150584707,231.2
-0.098504363,231.6
-0.041723877,232
0.02186854,232.4
0.089658266,232.8
0.15730851,233.2
0.221999559,233.6
0.285364876,234
0.349467839,234.4
0.397947584,234.8
0.419708793,235.2
0.425275288,235.6
0.422028138,236
0.409728228,236.4
0.388101428,236.8
0.356713846,237.2
0.312297798,237.6
0.248442227,238
0.156234019,238.4
0.029898576,238.8
-0.126580304,239.2
-0.301811965,239.6
-0.478141863,240
-0.630821195,240.4
-0.747659009,240.8
-0.834406657,241.2
-0.894863683,241.6
-0.933716286,242
-0.959079716,242.4
-0.977199484,242.8
-0.98313127,243.2
-0.968437905,243.6
-0.934663627,244
-0.888786221,244.4
-0.832547492,244.8
-0.763194045,245.2
-0.67824917,245.6
-0.575595494,246
-0.451317005,246.4
-0.302976622,246.8
-0.151745562,247.2
-0.021537168,247.6
0.077420382,248
0.144406919,248.4
0.196590265,248.8
0.248346141,249.2
0.293279195,249.6
0.325810337,250
0.334547149,250.4
0.306381868,250.8
0.241758527,251.2
0.142333097,251.6
0.011085746,252
-0.138169355,252.4
-0.278892544,252.8
-0.400010959,253.2
-0.506556733,253.6
-0.600635312,254
-0.681652621,254.4
-0.748779246,254.8
-0.802828437,255.2
-0.848012701,255.6
-0.886960253,256
-0.916140426,256.4
-0.941379062,256.8
-0.954824825,257.2
-0.937045384,257.6
-0.874687697,258
-0.769663636,258.4
-0.647900785,258.8
-0.537465477,259.2
-0.444355066,259.6
-0.368024295,260
-0.30880877,260.4
-0.267562516,260.8
-0.244250641,261.2
-0.23617552,261.6
-0.239170829,262
-0.25224506,262.4
-0.283638407,262.8
-0.337794886,263.2
-0.413270518,263.6
-0.511955152,264
-0.637727497,264.4
-0.786225048,264.8
-0.934426077,265.2
-1.050211934,265.6
-1.107363127,266
-1.100482381,266.4
-1.035916788,266.8
-0.923615875,267.2
-0.779286857,267.6
-0.621427994,268
-0.457973765,268.4
-0.288871376,268.8
-0.114700245,269.2
0.06283448,269.6
0.242447506,270
0.425409461,270.4
0.6149493,270.8
0.797541054,271.2
0.945299135,271.6
1.043559509,272
1.086442031,272.4
1.070692582,272.8
0.997378352,273.2
0.874764471,273.6
0.714725426,274
0.533609336,274.4
0.350170576,274.8
0.171419588,275.2
-0.003183073,275.6
-0.173668865,276
-0.338498669,276.4
-0.495207128,276.8
-0.641102987,277.2
-0.774196604,277.6
-0.894766094,278
-1.004612191,278.4
-1.094483842,278.8
-1.144517989,279.2
-1.142557984,279.6
-1.086019744,280
-0.979230953,280.4
-0.837329788,280.8
-0.690533912,281.2
-0.553115394,281.6
-0.428935969,282
-0.319111928,282.4
-0.222087218,282.8
-0.136784218,283.2
-0.067495031,283.6
-0.019476232,284
0.005329731,284.4
0.005806838,284.8
-0.017998098,285.2
-0.06487146,285.6
-0.133605299,286
-0.22375785,286.4
-0.336153318,286.8
-0.473872845,287.2
-0.639644567,287.6
-0.811008572,288
-0.943020329,288.4
-1.0114546,288.8
-1.016182321,289.2
-0.962162984,289.6
-0.85574114,290
-0.711974387,290.4
-0.558346082,290.8
-0.402030584,291.2
-0.239012656,291.6
-0.069462076,292
0.104534628,292.4
0.280214293,292.8
0.453106966,293.2
0.614767744,293.6
0.753548022,294
0.866957353,294.4
0.957344566,294.8
1.024629792,295.2
1.069597766,295.6
1.093087137,296
1.090244467,296.4
1.051123654,296.8
0.976918609,297.2
0.887460449,297.6
0.793274128,298
0.684396167,298.4
0.553817084,298.8
0.40072452,299.2
0.235907921,299.6
0.076630455,300
-0.06427712,300.4
-0.179263479,300.8
-0.26335214,301.2
-0.311318053,301.6
-0.316269696,302
-0.282294846,302.4
-0.230365132,302.8
-0.178820393,303.2
-0.138641823,303.6
-0.106763299,304
-0.064395996,304.4
-0.000322683,304.8
0.086001039,305.2
0.185549075,305.6
0.281516625,306
0.357590041,306.4
0.403931554,306.8
0.418364841,307.2
0.405782749,307.6
0.372660569,308
0.32359276,308.4
0.260451113,308.8
0.189744182,309.2
0.120414101,309.6
0.061145236,310
0.019669941,310.4
0.000587625,310.8
0.004637999,311.2
0.026638336,311.6
0.052168049,312
0.070985551,312.4
0.088256277,312.8
0.109329554,313.2
0.143419554,313.6
0.203800659,314
0.286959941,314.4
0.38567409,314.8
0.479631912,315.2
0.541632781,315.6
0.56471945,316
0.557393758,316.4
0.540606203,316.8
0.529460564,317.2
0.516261149,317.6
0.478972176,318
0.403969825,318.4
0.29515601,318.8
0.167145221,319.2
0.033614862,319.6
-0.099323462,320
-0.230178614,320.4
-0.35995399,320.8
-0.49079626,321.2
-0.61341002,321.6
-0.709897737,322
-0.769788588,322.4
-0.789512874,322.8
-0.776399549,323.2
-0.749596719,323.6
-0.720468502,324
-0.698424272,324.4
-0.698398093,324.8
-0.719169208,325.2
-0.740098873,325.6
-0.748811336,326
-0.741041411,326.4
-0.713983604,326.8
-0.669410574,327.2
-0.616828622,327.6
-0.563508787,328
-0.514627829,328.4
-0.474935529,328.8
-0.44982344,329.2
-0.4474073,329.6
-0.469920817,330
-0.495467908,330.4
-0.502398054,330.8
-0.471069476,331.2
-0.393034647,331.6
-0.280680997,332
-0.164039004,332.4
-0.083857045,332.8
-0.053461582,333.2
-0.050687423,333.6
-0.057348438,334
-0.064593955,334.4
-0.067517834,334.8
-0.061675227,335.2
-0.040054062,335.6
0.009720437,336
0.099115328,336.4
0.216251252,336.8
0.3276292,337.2
0.40806587,337.6
0.450160796,338
0.461270167,338.4
0.454793443,338.8
0.442935349,339.2
0.443010589,339.6
0.473344064,340
0.527498166,340.4
0.592447419,340.8
0.650501783,341.2
0.68009471,341.6
0.67150745,342
0.634773533,342.4
0.597495644,342.8
0.578889025,343.2
0.580857978,343.6
0.601921589,344
0.639472318,344.4
0.686257647,344.8
0.739036378,345.2
0.797830448,345.6
0.856133709,346
0.900953871,346.4
0.923394285,346.8
0.92683413,347.2
0.923053804,347.6
0.926994628,348
0.946956086,348.4
0.983280599,348.8
1.025424306,349.2
1.053653774,349.6
1.055179541,350
1.02328741,350.4
0.951930887,350.8
0.838487609,351.2
0.686722386,351.6
0.51720067,352
0.354748573,352.4
0.211435,352.8
0.092008641,353.2
-0.00220147,353.6
-0.072183693,354
-0.117009075,354.4
-0.126252585,354.8
-0.096446003,355.2
-0.044607472,355.6
0.01325709,356
0.068126706,356.4
0.114879138,356.8
0.157703567,357.2
0.208739072,357.6
0.273074816,358
0.343712652,358.4
0.403386001,358.8
0.439737551,359.2
0.455032308,359.6
0.454226253,360
0.440665032,360.4
0.417490742,360.8
0.396586947,361.2
0.406160644,361.6
0.458787768,362
0.527785626,362.4
0.590487018,362.8
0.639944363,363.2
0.674744412,363.6
0.69390101,364
0.692901855,364.4
0.658954496,364.8
0.578056213,365.2
0.452060933,365.6
0.290899594,366
0.107694415,366.4
-0.079699407,366.8
-0.257965375,367.2
-0.425645028,367.6
-0.583152524,368
-0.729161987,368.4
-0.862112157,368.8
-0.97975793,369.2
-1.075837613,369.6
-1.13913061,370
-1.159017758,370.4
-1.127491916,370.8
-1.041773814,371.2
-0.918837144,371.6
-0.795801834,372
-0.685682703,372.4
-0.587500383,372.8
-0.502931922,373.2
-0.435893337,373.6
-0.387750473,374
-0.348554624,374.4
-0.309339056,374.8
-0.274228942,375.2
-0.252087829,375.6
-0.247818461,376
-0.263118708,376.4
-0.298355517,376.8
-0.353185024,377.2
-0.42604065,377.6
-0.514412742,378
-0.614331812,378.4
-0.719194826,378.8
-0.821600321,379.2
-0.914675466,379.6
-0.984919412,380
-1.021870631,380.4
-1.027708554,380.8
-1.013672266,381.2
-0.984814243,381.6
-0.937299516,382
-0.869862536,382.4
-0.782528638,382.8
-0.672301244,383.2
-0.530114373,383.6
-0.34841983,384
-0.141857127,384.4
0.061008,384.8
0.240441261,385.2
0.38724823,385.6
0.495585327,386
0.561284567,386.4
0.58199056,386.8
0.557964987,387.2
0.49395089,387.6
0.398957925,388
0.282694469,388.4
0.1548391,388.8
0.029699662,389.2
-0.081472903,389.6
-0.188417798,390
-0.290653828,390.4
-0.373339888,390.8
-0.420902509,391.2
-0.428646163,391.6
-0.397625113,392
-0.327201651,392.4
-0.217722714,392.8
-0.076272641,393.2
0.081218839,393.6
0.237474286,394
0.380017206,394.4
0.503210275,394.8
0.605375494,395.2
0.686709038,395.6
0.749050425,396
0.796261216,396.4
0.834582153,396.8
0.871825673,397.2
0.914095837,397.6
0.963320805,398
1.016923066,398.4
1.060306016,398.8
1.067750282,399.2
1.031331809,399.6
0.979004667,400
0.932396899,400.4
0.896792692,400.8
0.871515982,401.2
0.857452989,401.6
0.855633866,402
0.853241407,402.4
0.832030201,402.8
0.797551682,403.2
0.766441249,403.6
0.743496235,404
0.728776854,404.4
0.721873297,404.8
0.722397496,405.2
0.730029392,405.6
0.744645483,406
0.766466381,406.4
0.795616971,406.8
0.829731232,407.2
0.864495384,407.6
0.896737527,408
0.918395252,408.4
0.929543198,408.8
0.947272814,409.2
0.982970225,409.6
1.022738495,410
1.049058585,410.4
1.05306678,410.8
1.030298106,411.2
0.974374777,411.6
0.876261898,412
0.742154211,412.4
0.594227081,412.8
0.440809742,413.2
0.278151713,413.6
0.105357667,414
-0.075548437,414.4
-0.251533839,414.8
-0.407931963,415.2
-0.545019487,415.6
-0.666713472,416
-0.773810488,416.4
-0.866387357,416.8
-0.943289363,417.2
-1.001384014,417.6
-1.034459777,418
-1.030218539,418.4
-0.983626327,418.8
-0.907693561,419.2
-0.827206965,419.6
-0.755558481,420
-0.695689869,420.4
-0.648245648,420.8
-0.613867706,421.2
-0.594000694,421.6
-0.591969668,422
-0.611649165,422.4
-0.645461484,422.8
-0.673597413,423.2
-0.67853873,423.6
-0.64431645,424
-0.571174294,424.4
-0.481774108,424.8
-0.400191711,425.2
-0.335618642,425.6
-0.291102374,426
-0.268604513,426.4
-0.265922205,426.8
-0.275033808,427.2
-0.2828704,427.6
-0.281910958,428
-0.277208142,428.4
-0.281225526,428.8
-0.306215578,429.2
-0.354293139,429.6
-0.421943089,430
-0.505594268,430.4
-0.602041803,430.8
-0.70900149,431.2
-0.821790456,431.6
-0.929437946,432
-1.013542928,432.4
-1.064039592,432.8
-1.090459984,433.2
-1.101358137,433.6
-1.098131213,434
-1.078707576,434.4
-1.036409722,434.8
-0.969489602,435.2
-0.877041039,435.6
-0.755766883,436
-0.61500478,436.4
-0.474968379,436.8
-0.347950224,437.2
-0.240608339,437.6
-0.159083006,438
-0.108450985,438.4
-0.079891961,438.8
-0.056158005,439.2
-0.027321552,439.6
0.012231253,440
0.064312968,440.4
0.117471281,440.8
0.153239145,441.2
0.160635614,441.6
0.136146823,442
0.081385477,442.4
0.004548825,442.8
-0.075808025,443.2
-0.14411295,443.6
-0.204593403,444
-0.256862249,444.4
-0.286342181,444.8
-0.291150885,445.2
-0.28948101,445.6
-0.307680182,446
-0.358504924,446.4
-0.43699159,446.8
-0.537454158,447.2
-0.654437558,447.6
-0.776363248,448
-0.877274253,448.4
-0.933149664,448.8
-0.937422431,449.2
-0.891459217,449.6
-0.802378727,450
-0.684284058,450.4
-0.556559242,450.8
-0.43784259,451.2
-0.342341564,451.6
-0.279175177,452
-0.237599054,452.4
-0.199987328,452.8
-0.157462313,453.2
-0.104349537,453.6
-0.032178478,454
0.061700418,454.4
0.161164569,454.8
0.252065855,455.2
0.334224513,455.6
0.412518859,456
0.482822126,456.4
0.532620983,456.8
0.556719255,457.2
0.562946981,457.6
0.568308384,458
0.581111169,458.4
0.597991157,458.8
0.611597759,459.2
0.61388796,459.6
0.592629859,460
0.528460059,460.4
0.408594576,460.8
0.238551869,461.2
0.045291905,461.6
-0.130664738,462
-0.270309268,462.4
-0.373148734,462.8
-0.439308754,463.2
-0.467506059,463.6
-0.454307828,464
-0.392355769,464.4
-0.283713499,464.8
-0.152843498,465.2
-0.02186372,465.6
0.089855951,466
0.17040139,466.4
0.218377575,466.8
0.232681628,467.2
0.221268597,467.6
0.197642211,468
0.170012842,468.4
0.140632884,468.8
0.109717943,469.2
0.077122814,469.6
0.043282553,470
0.011369451,470.4
-0.008523185,470.8
0.00156249,471.2
0.053193353,471.6
0.141391447,472
0.247513215,472.4
0.35499741,472.8
0.453896003,473.2
0.535267111,473.6
0.591405446,474
0.61707548,474.4
0.607092537,474.8
0.570891407,475.2
0.51650688,475.6
0.448206278,476
0.371400756,476.4
0.296217399,476.8
0.2399496,477.2
0.211138322,477.6
0.205220449,478
0.222129157,478.4
0.266765241,478.8
0.344830257,479.2
0.45533528,479.6
0.577286884,480
0.690363086,480.4
0.784486733,480.8
0.851181689,481.2
0.876378694,481.6
0.845205878,482
0.755385306,482.4
0.610737646,482.8
0.425677201,483.2
0.232442631,483.6
0.062534819,484
-0.070477357,484.4
-0.16595203,484.8
-0.236475265,485.2
-0.295449145,485.6
-0.348245916,486
-0.397022526,486.4
-0.44189274,486.8
-0.47945553,487.2
-0.503815107,487.6
-0.510115632,488
-0.500106777,488.4
-0.486230311,488.8
-0.492235901,489.2
-0.536033699,489.6
-0.593508786,490
-0.626827305,490.4
-0.633825071,490.8
-0.631394482,491.2
-0.629384348,491.6
-0.631420161,492
-0.634989157,492.4
-0.628789281,492.8
-0.60257097,493.2
-0.558860977,493.6
-0.50596693,494
-0.457241715,494.4
-0.42853512,494.8
-0.42271337,495.2
-0.434435196,495.6
-0.460837828,496
-0.501784333,496.4
-0.560053883,496.8
-0.639654866,497.2
-0.729099104,497.6
-0.806470041,498
-0.879618246,498.4
-0.949856522,498.8
-0.998122275,499.2
-1.00383263,499.6
-0.972358139,500
-0.934452077,500.4
-0.905471459,500.8
-0.883534273,501.2
-0.867944953,501.6
-0.859103061,502
-0.856515966,502.4
-0.858991322,502.8
-0.866059875,503.2
-0.876383661,503.6
-0.886730529,504
-0.898119118,504.4
-0.912198665,504.8
-0.929573157,505.2
-0.950204633,505.6
-0.973448847,506
-0.997183509,506.4
-1.014811939,506.8
-1.014118416,507.2
-0.998841268,507.6
-0.992825943,508
-0.989343928,508.4
-0.980747408,508.8
-0.969582882,509.2
-0.958157808,509.6
-0.947667204,510
-0.938765021,510.4
-0.931879188,510.8
-0.927387784,511.2
-0.925790742,511.6
-0.927990886,512
-0.935825702,512.4
-0.95263688,512.8
-0.980835128,513.2
-1.01172503,513.6
-1.022340729,514
-0.997134403,514.4
-0.942953386,514.8
-0.876195349,515.2
-0.809490362,515.6
-0.747722748,516
-0.690130918,516.4
-0.634342209,516.8
-0.576903737,517.2
-0.509918755,517.6
-0.428938522,518
-0.339596492,518.4
-0.243599531,518.8
-0.140852543,519.2
-0.033617051,519.6
0.074676181,520
0.180354501,520.4
0.279872076,520.8
0.370080301,521.2
0.448718806,521.6
0.51547231,522
0.574099939,522.4
0.636195298,522.8
0.723491979,523.2
0.849391508,523.6
0.980587039,524
1.068129,524.4
1.092642756,524.8
1.054639629,525.2
0.960801344,525.6
0.822310345,526
0.658491852,526.4
0.491791943,526.8
0.33950662,527.2
