r_r_VM,Time
-0.682765046,70.10370997
-0.51637802,70.49692311
-0.353030748,70.89013625
-0.208619518,71.28334939
-0.079176304,71.67656253
0.041070993,72.06977567
0.154715314,72.46298881
0.263973615,72.85620195
0.373172029,73.2494151
0.485739826,73.64262824
0.591614026,74.03584138
0.666975226,74.42905452
0.704239044,74.82226766
0.688370512,75.2154808
0.620651075,75.60869394
0.521776758,76.00190708
0.408790449,76.39512022
0.288027583,76.78833337
0.159149442,77.18154651
0.018199022,77.57475965
-0.14508153,77.96797279
-0.344791138,78.36118593
-0.567515013,78.75439907
-0.775609977,79.14761221
-0.931162609,79.54082535
-1.020204374,79.9340385
-1.036514578,80.32725164
-0.976111277,80.72046478
-0.841205556,81.11367792
-0.646435392,81.50689106
-0.420417525,81.9001042
-0.190120735,82.29331734
0.038569537,82.68653048
0.269442813,83.07974363
0.490841836,83.47295677
0.679946922,83.86616991
0.819090174,84.25938305
0.89578947,84.65259619
0.901219758,85.04580933
0.842754502,85.43902247
0.742717381,85.83223561
0.624364787,86.22544875
0.517794118,86.6186619
0.433009584,87.01187504
0.361529533,87.40508818
0.287572591,87.79830132
0.208093013,88.19151446
0.122804801,88.5847276
0.029120653,88.97794074
-0.074654226,89.37115388
-0.179338035,89.76436703
-0.262683679,90.15758017
-0.313371004,90.55079331
-0.344757664,90.94400645
-0.373911787,91.33721959
-0.400922729,91.73043273
-0.421180857,92.12364587
-0.428711134,92.51685901
-0.412344677,92.91007215
-0.352493957,93.3032853
-0.239077766,93.69649844
-0.084264603,94.08971158
0.090492444,94.48292472
0.263801301,94.87613786
0.426864078,95.269351
0.576754272,95.66256414
0.704832568,96.05577728
0.801104132,96.44899043
0.863381532,96.84220357
0.897691205,97.23541671
0.918334265,97.62862985
0.938312666,98.02184299
0.958160755,98.41505613
0.976845246,98.80826927
0.985971784,99.20148241
0.975409923,99.59469555
0.93151527,99.9879087
0.852507762,100.3811218
0.744251213,100.774335
0.613527444,101.1675481
0.466534152,101.5607613
0.312016456,101.9539744
0.159652799,102.3471875
0.009840528,102.7404007
-0.136469383,103.1336138
-0.279327866,103.526827
-0.424470872,103.9200401
-0.575260309,104.3132532
-0.713895774,104.7064664
-0.816123146,105.0996795
-0.868361124,105.4928927
-0.864687448,105.8861058
-0.805610434,106.279319
-0.7039769,106.6725321
-0.587190373,107.0657452
-0.463067687,107.4589584
-0.328913251,107.8521715
-0.183202094,108.2453847
-0.026238882,108.6385978
0.138240437,109.0318109
0.305552627,109.4250241
0.471315749,109.8182372
0.627037727,110.2114504
0.758747748,110.6046635
0.860215967,110.9978766
0.928233845,111.3910898
0.964020059,111.7843029
0.979086063,112.1775161
0.996854192,112.5707292
1.028026925,112.9639424
1.056514833,113.3571555
1.057036965,113.7503686
1.01632399,114.1435818
0.931127491,114.5367949
0.806281564,114.9300081
0.659633995,115.3232212
0.511930579,115.7164343
0.376824267,116.1096475
0.263946112,116.5028606
0.174319606,116.8960738
0.094814081,117.2892869
0.010115419,117.6825
-0.075297079,118.0757132
-0.143087041,118.4689263
-0.180091032,118.8621395
-0.179088598,119.2553526
-0.136995936,119.6485658
-0.055902292,120.0417789
0.056539556,120.434992
0.187879298,120.8282052
0.310946447,121.2214183
0.38742352,121.6146315
0.401300129,122.0078446
0.34921223,122.4010577
0.244399704,122.7942709
0.135151643,123.187484
0.058799413,123.5806972
0.020043589,123.9739103
0.009879372,124.3671234
0.013585862,124.7603366
0.017636726,125.1535497
0.024773714,125.5467629
0.054220169,125.939976
0.118267553,126.3331892
0.215837379,126.7264023
0.345922503,127.1196154
0.502800386,127.5128286
0.665758326,127.9060417
0.811068052,128.2992549
0.916413941,128.692468
0.954864847,129.0856811
0.911209703,129.4788943
0.806687416,129.8721074
0.671170133,130.2653206
0.538857608,130.6585337
0.444294584,131.0517468
0.386553643,131.44496
0.353004248,131.8381731
0.343861764,132.2313863
0.362297637,132.6245994
0.409768464,133.0178126
0.480061128,133.4110257
0.560687319,133.8042388
0.6401828,134.197452
0.709235991,134.5906651
0.75646455,134.9838783
0.763767964,135.3770914
0.718800488,135.7703045
0.633773192,136.1635177
0.527516447,136.5567308
0.416835296,136.949944
0.320611444,137.3431571
0.248279198,137.7363702
0.186985508,138.1295834
0.128638692,138.5227965
0.074793399,138.9160097
0.022409138,139.3092228
-0.028410868,139.702436
-0.074862491,140.0956491
-0.118707257,140.4888622
-0.165433076,140.8820754
-0.225012512,141.2752885
-0.304915615,141.6685017
-0.405918074,142.0617148
-0.525052457,142.4549279
-0.652814731,142.8481411
-0.774934253,143.2413542
-0.877378859,143.6345674
-0.948851457,144.0277805
-0.990521262,144.4209936
-1.009636575,144.8142068
-1.016025866,145.2074199
-1.023693974,145.6006331
-1.045762153,145.9938462
-1.075640122,146.3870594
-1.091622971,146.7802725
-1.080761882,147.1734856
-1.036174028,147.5666988
-0.954708598,147.9599119
-0.838686304,148.3531251
-0.693210607,148.7463382
-0.524325374,149.1395513
-0.33805684,149.5327645
-0.139231814,149.9259776
0.068453706,150.3191908
0.276617177,150.7124039
0.474785794,151.105617
0.657067677,151.4988302
0.820695085,151.8920433
0.959737174,152.2852565
1.063391142,152.6784696
1.114961013,153.0716828
1.098396381,153.4648959
1.01181927,153.858109
0.873886634,154.2513222
0.711732386,154.6445353
0.53705705,155.0377485
0.350107965,155.4309616
0.150098209,155.8241747
-0.064269338,156.2173879
-0.288590628,156.610601
-0.496121436,157.0038142
-0.656387716,157.3970273
-0.750532409,157.7902404
-0.772314258,158.1834536
-0.741103896,158.5766667
-0.675407618,158.9698799
-0.582478293,159.363093
-0.472897766,159.7563062
-0.360095523,160.1495193
-0.260052374,160.5427324
-0.191023023,160.9359456
-0.169009653,161.3291587
-0.190716489,161.7223719
-0.227626882,162.115585
-0.260188654,162.5087981
-0.280625404,162.9020113
-0.296359983,163.2952244
-0.325915662,163.6884376
-0.375095938,164.0816507
-0.430413374,164.4748638
-0.467611618,164.868077
-0.478055344,165.2612901
-0.460130984,165.6545033
-0.414733943,166.0477164
-0.355500411,166.4409296
-0.284860734,166.8341427
-0.195590539,167.2273558
-0.097409329,167.620569
-0.015505111,168.0137821
0.033564486,168.4069953
0.044284846,168.8002084
0.020906125,169.1934215
-0.017021923,169.5866347
-0.04957612,169.9798478
-0.083903814,170.373061
-0.128727879,170.7662741
-0.186229,171.1594873
-0.253868547,171.5527004
-0.318123073,171.9459135
-0.366589927,172.3391267
-0.399430543,172.7323398
-0.422593667,173.125553
-0.430874513,173.5187661
-0.418886057,173.9119792
-0.389924465,174.3051924
-0.352224163,174.6984055
-0.316911663,175.0916187
-0.292652411,175.4848318
-0.276517084,175.8780449
-0.254117947,176.2712581
-0.221145508,176.6644712
-0.189294304,177.0576844
-0.172871466,177.4508975
-0.176486407,177.8441107
-0.185533209,178.2373238
-0.174231205,178.6305369
-0.120775822,179.0237501
-0.023445734,179.4169632
0.108151341,179.8101764
0.258239843,180.2033895
0.403209979,180.5966026
0.524770081,180.9898158
0.618605861,181.3830289
0.687191582,181.7762421
0.741779576,182.1694552
0.781023064,182.5626683
0.809788582,182.9558815
0.844590773,183.3490946
0.891144648,183.7423078
0.930103016,184.1355209
0.930790297,184.5287341
0.87417692,184.9219472
0.761660862,185.3151603
0.608739161,185.7083735
0.435287956,186.1015866
0.251872212,186.4947998
0.062617717,186.8880129
-0.127171394,187.281226
-0.306339696,187.6744392
-0.471347964,188.0676523
-0.621185438,188.4608655
-0.752790714,188.8540786
-0.861243482,189.2472917
-0.939129394,189.6405049
-0.982509319,190.033718
-1.003337851,190.4269312
-1.004450456,190.8201443
-0.98728675,191.2133575
-0.961929347,191.6065706
-0.944300828,191.9997837
-0.940991265,192.3929969
-0.947138038,192.78621
-0.95850773,193.1794232
-0.970641406,193.5726363
